GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
25/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.12018875;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
26/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.12018875;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
27/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.12018875;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
28/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.12018875;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
29/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.27814109;0.00000001
30/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.00000001;0.00000001
01/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.17671984;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21194378;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
02/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.17671984;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21194378;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
03/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.17671984;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21194378;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
04/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.14521181;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.17671984;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21194378;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
